class,feature,abs_mean,rank
Web,ttl,0.266855,8
Web,ack_cnt,0.243552,9
Web,ack,0.232077,10
Web,min,0.227649,11
Web,proto_num,0.193622,12
Web,std,0.190016,13
Web,iat,0.150253,14
Web,header_len,0.136308,15
Web,http,0.128503,16
Web,syn_cnt,0.12507,17
Web,tot_sum,0.124593,18
Web,fin,0.114926,19
Web,num,0.104598,20
Web,var,0.102595,21
Web,telnet,0.085406,22
Web,rst_cnt,0.083496,23
Web,fin_cnt,0.082528,24
Web,cwr,0.080372,25
Web,udp,0.077148,26
Web,irc,0.063344,27
Web,llc,0.063052,28
Web,icmp,0.060745,29
Web,ssh,0.05937,30
Web,ece,0.057704,31
Web,ipv,0.055874,32
Web,arp,0.05573,33
Web,dhcp,0.05526,34
Web,rst,0.054526,35
Web,smtp,0.054471,36
Web,igmp,0.054378,37
Web,syn,0.0503,38
Web,tcp,0.04455,39
