class,eps,spearman,jaccard5,pred_preserved
DDoS,0.05,0.48846153846153856,0.1111111111111111,True
DDoS,0.1,0.36740890688259115,0.25,True
DDoS,0.01,0.5129554655870445,0.1111111111111111,True
DDoS,0.05,0.18603238866396762,0.1111111111111111,False
DDoS,0.1,0.415587044534413,0.25,False
DDoS,0.01,0.3281376518218624,0.25,True
DDoS,0.05,0.28360323886639677,0.25,True
DDoS,0.1,0.34028340080971664,0.42857142857142855,False
DDoS,0.01,0.6781376518218624,0.6666666666666666,True
DDoS,0.05,0.6192307692307694,0.25,True
DDoS,0.1,0.562753036437247,0.6666666666666666,True
DDoS,0.01,0.3232793522267207,0.25,True
DDoS,0.05,0.48279352226720645,0.25,True
DDoS,0.1,0.36093117408906883,0.25,True
DDoS,0.01,0.3176113360323887,0.25,True
DDoS,0.05,0.24129554655870447,0.1111111111111111,True
DDoS,0.1,0.38744939271255063,0.42857142857142855,True
DDoS,0.01,0.7686234817813765,0.6666666666666666,True
DDoS,0.05,0.8153846153846155,0.6666666666666666,True
DDoS,0.1,0.7279352226720648,0.42857142857142855,True
DDoS,0.01,0.42145748987854253,0.25,True
DDoS,0.05,0.6034412955465588,0.25,False
DDoS,0.1,0.6894736842105263,0.42857142857142855,True
DDoS,0.01,0.5309716599190284,0.42857142857142855,True
DDoS,0.05,0.4680161943319838,0.25,True
DDoS,0.1,0.27004048582995954,0.1111111111111111,True
DDoS,0.01,0.32267206477732796,0.1111111111111111,True
DDoS,0.05,0.09331983805668018,0.42857142857142855,True
DDoS,0.1,0.08137651821862348,0.25,True
DDoS,0.01,0.5299595141700405,0.42857142857142855,True
DDoS,0.05,0.6720647773279352,0.42857142857142855,True
DDoS,0.1,0.5649797570850202,0.25,True
DDoS,0.01,0.5382591093117409,0.25,True
DDoS,0.05,0.505668016194332,0.1111111111111111,False
DDoS,0.1,0.3882591093117409,0.42857142857142855,True
DDoS,0.01,0.45769230769230773,0.25,True
DDoS,0.05,0.4457489878542511,0.1111111111111111,True
DDoS,0.1,0.408502024291498,0.25,True
DDoS,0.01,0.7303643724696356,0.42857142857142855,True
DDoS,0.05,0.6605263157894737,0.6666666666666666,True
DDoS,0.1,0.546761133603239,0.6666666666666666,True
DDoS,0.01,0.4257085020242915,0.1111111111111111,True
DDoS,0.05,0.4653846153846154,0.25,True
DDoS,0.1,0.505668016194332,0.25,False
DDoS,0.01,0.32935222672064773,0.25,True
DDoS,0.05,0.42894736842105263,0.25,False
DDoS,0.1,0.5661943319838058,0.25,True
DDoS,0.01,0.6342105263157896,0.1111111111111111,True
DDoS,0.05,0.48319838056680164,0.42857142857142855,True
DDoS,0.1,0.5823886639676114,0.42857142857142855,False
DDoS,0.01,0.6898785425101215,0.1111111111111111,True
DDoS,0.05,0.4795546558704453,0.42857142857142855,True
DDoS,0.1,0.48421052631578954,0.42857142857142855,False
