grouping,class,unit,ig_abs,ig_rank,shap_abs,shap_rank
G1,Web,rst+rst_cnt,0.010591825665696,18,0.0071119698695838,19
G1,Web,psh,0.0715183360714581,4,0.0094303302466869,16
G1,Web,ack+ack_cnt,0.131047902687464,3,0.0245047989301383,10
G1,Web,ece,0.007546608947929,20,0.0,26
G1,Web,cwr,0.0045008679940518,25,0.0004318919673096,25
G1,Web,http,0.012079458547548,17,0.0286768861114978,8
G1,Web,https,0.0292362783802865,10,0.0487143844366073,4
G1,Web,dns,0.0195065436134752,15,0.0119346398860216,14
G1,Web,telnet,0.0055804617256887,23,0.0,26
G1,Web,smtp,0.0046898279670215,24,0.0,26
G1,Web,ssh,0.0032854312154866,28,0.007856429554522,17
G1,Web,irc,0.0036361111142484,27,0.0,26
G1,Web,tcp,0.0077773997149485,19,0.0044290143996477,20
G1,Web,udp,0.0062205022086478,21,0.0076444274745881,18
G1,Web,dhcp,0.0030190711992055,29,0.0019764604512602,22
G1,Web,arp+ipv+llc,0.0161782751018038,16,0.0100838420912623,15
G1,Web,icmp,0.0057000861180233,22,0.0175258088856935,12
G1,Web,igmp,0.0036442226740778,26,0.001160133164376,24
G1,Web,tot_sum,0.0211172952908193,12,0.0338838472962379,6
G1,Web,min,0.0205036338355565,13,0.029206708073616,7
G1,Web,max+avg+tot_size,0.1718537540745296,1,0.0655621197074651,3
G1,Web,std+var,0.0446416431730149,8,0.023460753262043,11
G1,Web,num,0.0709037700708211,5,0.3943411409854889,1
G2,Benign,proto_num,0.0886905558157227,5,0.0001814455463318,21
G2,Benign,ttl,0.1063871856089459,3,0.0430597178637981,4
G2,Benign,rate+iat,0.083668805371712,6,0.0516105294227599,3
G2,Benign,header_len,0.0268480891550152,10,0.0222700834274292,6
G2,Benign,fin+fin_cnt,0.0153562332433159,12,0.0162921044975519,9
G2,Benign,syn+syn_cnt,0.0164973885359064,11,0.0200683679431676,7
G2,Benign,rst+rst_cnt,0.0133058159997804,16,0.0051423707045614,14
G2,Benign,psh,0.046332999650322,8,0.0352235212922096,5
G2,Benign,ack+ack_cnt,0.1416209036335318,2,0.011884873965755001,10
G2,Benign,ece,0.009458890474639,17,2.2581218217965215e-05,23
G2,Benign,cwr,0.0045466370441828,22,0.0,25
G2,Benign,http,0.0075376784087007,19,0.0068720313720405,13
G2,Benign,https,0.0944813704825413,4,0.1691117584705352,2
G2,Benign,dns,0.0535107439000597,7,0.0076817064546048,12
G2,Benign,telnet,0.005937578263271,20,0.0,25
G2,Benign,smtp,0.0047232966511009,21,0.0,25
G2,Benign,ssh,0.0029598969565986,24,0.0008737549069337,20
G2,Benign,irc,0.0033136368684659,23,8.699937097844668e-06,24
G2,Benign,tcp,0.0135097336922202,15,0.0041052866727113,16
G2,Benign,udp,0.0085452391606635,18,0.0026509764138609,18
G2,Benign,dhcp,0.0028542300792804,25,0.0010891399579122,19
G2,Benign,arp+ipv+llc,0.0140778549728659,14,0.0047857207246124,15
G2,Benign,icmp,0.0024260200204016,27,0.0027830130420625,17
G2,Benign,igmp,0.002599398341865,26,3.963579365517944e-05,22
G2,Benign,tot_sum+max+avg+tot_size+num,0.1726590173507036,1,0.5664998767897484,1
G2,Benign,min,0.0147370400603782,13,0.008426702581346,11
G2,Benign,std+var,0.0434137602578075,9,0.0193161014467477,8
G2,BruteForce,proto_num,0.0197938059156066,15,0.0001029501217999,24
G2,BruteForce,ttl,0.0400466725881343,7,0.0166273079812526,10
G2,BruteForce,rate+iat,0.07263602203420699,3,0.11266964301466931,3
G2,BruteForce,header_len,0.0354629210874791,8,0.0198150314390659,6
G2,BruteForce,fin+fin_cnt,0.0279715882784877,12,0.0032198182307183,19
G2,BruteForce,syn+syn_cnt,0.0326689887850593,9,0.013260950683616,11
G2,BruteForce,rst+rst_cnt,0.0218984334236795,14,0.0176456635235808,8
G2,BruteForce,psh,0.0316128863855244,10,0.0048683816567063,16
G2,BruteForce,ack+ack_cnt,0.0994060618808438,2,0.0095672177849337,13
G2,BruteForce,ece,0.0080894894931084,20,0.0,25
G2,BruteForce,cwr,0.0044118657619439,22,0.00123768649064,21
G2,BruteForce,http,0.00414569928802,24,0.0216380879282951,5
G2,BruteForce,https,0.0307721009481054,11,0.0307924877852201,4
G2,BruteForce,dns,0.0140838080872869,19,0.0166921094059944,9
G2,BruteForce,telnet,0.0055013626203502,21,0.0,25
G2,BruteForce,smtp,0.0031355638910387,25,0.0,25
G2,BruteForce,ssh,0.0528102558252978,6,0.4247925579547882,1
G2,BruteForce,irc,0.0584508361692416,5,0.0002547286276239,23
G2,BruteForce,tcp,0.0140933243182157,18,0.0059784548357129,15
G2,BruteForce,udp,0.0146404248564614,17,0.0083491336554288,14
G2,BruteForce,dhcp,0.0031101347262218,27,0.0012080152519047,22
G2,BruteForce,arp+ipv+llc,0.0225885511957514,13,0.0038890114519745,18
G2,BruteForce,icmp,0.0043961704413192,23,0.0047428868710994,17
G2,BruteForce,igmp,0.003129310126414,26,0.0018031306099146,20
G2,BruteForce,tot_sum+max+avg+tot_size+num,0.28894550572196503,1,0.2510385559871791,2
G2,BruteForce,min,0.019272423237502,16,0.010562895797193,12
G2,BruteForce,std+var,0.066925792912733,4,0.0192432459443807,7
G2,DDoS,proto_num,0.1154206381128139,2,0.0380908027291297,7
G2,DDoS,ttl,0.0133244751516063,15,0.016680683940649,10
G2,DDoS,rate+iat,0.0957968305838396,3,0.10486591234803191,4
G2,DDoS,header_len,0.0137943246418988,14,0.0236746799200773,8
G2,DDoS,fin+fin_cnt,0.0524056383113171,6,0.1156427711248397,3
G2,DDoS,syn+syn_cnt,0.073261126076215,4,0.0755118131637572,6
G2,DDoS,rst+rst_cnt,0.0309978029525302,9,0.012329121585935299,11
G2,DDoS,psh,0.0348810974938368,7,0.1028895378112793,5
G2,DDoS,ack+ack_cnt,0.06529179349227679,5,0.023549050092696998,9
G2,DDoS,ece,0.0167131616161867,13,0.0,24
G2,DDoS,cwr,0.012944985417475,16,0.0,24
G2,DDoS,http,0.0081659249909731,23,0.0031047952361404,17
G2,DDoS,https,0.0192252439813776,12,0.0057763927616178,14
G2,DDoS,dns,0.0212860061714987,11,0.0008975024102255,19
G2,DDoS,telnet,0.0128496007298017,17,0.0,24
G2,DDoS,smtp,0.0080090337663908,24,0.0,24
G2,DDoS,ssh,0.0106207121343625,19,2.1848982214578427e-05,22
G2,DDoS,irc,0.0089951116286012,20,3.164097142871469e-05,21
G2,DDoS,tcp,0.0078540220355821,25,0.0041179349645972,15
G2,DDoS,udp,0.0082675212214583,21,0.0102773224934935,12
G2,DDoS,dhcp,0.0082500840295832,22,0.0003407035546842,20
G2,DDoS,arp+ipv+llc,0.0125770444589711,18,0.0033249801490455,16
G2,DDoS,icmp,0.0054826460831365,26,0.2006496042013168,2
G2,DDoS,igmp,0.0052072984755038,27,1.074381907528732e-05,23
G2,DDoS,tot_sum+max+avg+tot_size+num,0.2761965637889273,1,0.24781380081549267,1
G2,DDoS,min,0.0291118267472249,10,0.0015137535519897,18
G2,DDoS,std+var,0.033069485906609096,8,0.0088846394792199,13
G2,DoS,proto_num,0.0287396007204532,9,0.0005076450761407,20
G2,DoS,ttl,0.0157155386023904,17,0.0238510128110647,10
G2,DoS,rate+iat,0.1514434622538595,2,0.0841824561357497,3
G2,DoS,header_len,0.0192096600116601,12,0.1768611520528793,2
G2,DoS,fin+fin_cnt,0.0365815360433069,8,0.0521578927582595,5
G2,DoS,syn+syn_cnt,0.039032884661033704,6,0.0818221848458051,4
G2,DoS,rst+rst_cnt,0.041130617390556,5,0.0088705556700005,16
G2,DoS,psh,0.0227694558844599,10,0.0465077981352806,7
G2,DoS,ack+ack_cnt,0.061304140974373804,3,0.042908127149530594,8
G2,DoS,ece,0.0171278054376351,15,8.210958185372874e-06,23
G2,DoS,cwr,0.0158208200083168,16,0.0,25
G2,DoS,http,0.0103849386658052,20,0.0099539281800389,15
G2,DoS,https,0.0107677681406704,19,0.017268668860197,11
G2,DoS,dns,0.0201275417609559,11,0.0062890392728149,17
G2,DoS,telnet,0.0171542426839643,14,7.153946626203833e-06,24
G2,DoS,smtp,0.0131534474271283,18,0.0,25
G2,DoS,ssh,0.0063877255925242,24,0.0007608327432535,19
G2,DoS,irc,0.0059541754818329,26,5.6577300711069256e-05,22
G2,DoS,tcp,0.0073277504616617,22,0.0363758392632007,9
G2,DoS,udp,0.0102204298110581,21,0.0154905375093221,12
G2,DoS,dhcp,0.0063266218904662,25,0.0005017388612031,21
G2,DoS,arp+ipv+llc,0.018444829662981603,13,0.0127149512991309,13
G2,DoS,icmp,0.0065801193771113,23,0.0045639043673872,18
G2,DoS,igmp,0.005705211603473,27,0.0,25
G2,DoS,tot_sum+max+avg+tot_size+num,0.3268851633899513,1,0.3192414706572889,1
G2,DoS,min,0.0375339149979159,7,0.049069482833147,6
G2,DoS,std+var,0.0481705970644523,4,0.0100287878885865,14
G2,Mirai,proto_num,0.2701503756215763,1,0.0974076986312866,2
G2,Mirai,ttl,0.0369173229672948,6,0.002351801842451,9
G2,Mirai,rate+iat,0.0439567469954051,3,0.0022466771188191003,11
G2,Mirai,header_len,0.0146952305118847,17,0.0091295922175049,5
G2,Mirai,fin+fin_cnt,0.0329233452850512,9,0.0001919933565658787,19
G2,Mirai,syn+syn_cnt,0.0347770257040011,8,0.0012903684323646004,14
G2,Mirai,rst+rst_cnt,0.0372458517501993,5,0.00036024652581542516,16
G2,Mirai,psh,0.0193317541900518,14,0.0022832066752016,10
G2,Mirai,ack+ack_cnt,0.0421973832842326,4,0.0043488777591846,7
G2,Mirai,ece,0.0107759776868554,21,0.0,23
G2,Mirai,cwr,0.0153170538875492,15,0.0,23
G2,Mirai,http,0.0099835803884555,22,0.0017651544185355,12
G2,Mirai,https,0.0119602680009887,18,0.0003039953298866,18
G2,Mirai,dns,0.0207908836496366,13,0.0032117324881255,8
G2,Mirai,telnet,0.0228546975491642,12,0.0,23
G2,Mirai,smtp,0.0150242129691748,16,0.0,23
G2,Mirai,ssh,0.0116613181587327,19,0.0,23
G2,Mirai,irc,0.0098329120456194,24,2.8633787223952822e-05,20
G2,Mirai,tcp,0.007194169272818,27,0.0089832004159688,6
G2,Mirai,udp,0.0080377801201723,26,0.0011107025202363,15
G2,Mirai,dhcp,0.0081214979150995,25,1.2635086932277773e-07,22
G2,Mirai,arp+ipv+llc,0.0257583088899857,11,0.001367725431919,13
G2,Mirai,icmp,0.0109457043131004,20,0.0003444215108174,17
G2,Mirai,igmp,0.0099748665122384,23,9.621814569982234e-06,21
G2,Mirai,tot_sum+max+avg+tot_size+num,0.2064171494045192,2,0.744600139558315,1
G2,Mirai,min,0.0273103905180586,10,0.0753220617771148,3
G2,Mirai,std+var,0.0358441924081326,7,0.0433419868350029,4
G2,Recon,proto_num,0.0301405883929451,13,0.0,24
G2,Recon,ttl,0.043733651681931,9,0.0135810934007167,9
G2,Recon,rate+iat,0.0745124884818707,5,0.0366814685985445,5
G2,Recon,header_len,0.0360214415489132,11,0.0112581886351108,11
G2,Recon,fin+fin_cnt,0.0766065085413863,4,0.043989535421133,4
G2,Recon,syn+syn_cnt,0.10654625284650521,2,0.1357194483280182,2
G2,Recon,rst+rst_cnt,0.052286142089593104,7,0.0746697634458541,3
G2,Recon,psh,0.0451936237497957,8,0.0067231813445687,15
G2,Recon,ack+ack_cnt,0.0929083968365626,3,0.0067787509178742,14
G2,Recon,ece,0.0061186711126941,20,0.0008991223876364,21
G2,Recon,cwr,0.0056970210626291,21,0.0,24
G2,Recon,http,0.0354534881020863,12,0.0339592173695564,7
G2,Recon,https,0.0542774182611476,6,0.0359198562800884,6
G2,Recon,dns,0.02042884468876,14,0.0042322403751313,18
G2,Recon,telnet,0.0070036145424324,19,0.0,24
G2,Recon,smtp,0.0027153272710233,25,0.0,24
G2,Recon,ssh,0.002424677855532,27,0.0076074702665209,13
G2,Recon,irc,0.0027759384403993,24,7.529370486736298e-05,22
G2,Recon,tcp,0.0087333260062722,18,0.0100015038624405,12
G2,Recon,udp,0.0100883387827782,17,0.0038969339802861,19
G2,Recon,dhcp,0.0031800817912254,22,0.0019040080951526,20
G2,Recon,arp+ipv+llc,0.0125566328874437,16,0.0045412248000502,17
