class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
DDoS,max,0.0428423855876388,0.0332275658818436,-0.009614819705795204,8,9
DDoS,min,0.032289636027394,0.015246628942748,-0.017043007084646,9,29
DDoS,syn_cnt,0.0315473588039387,0.0343853020784496,0.0028379432745109026,10,8
DDoS,rate,0.0308002171924074,0.0233449427377793,-0.0074552744546281,11,13
DDoS,ack,0.0263339673527745,0.0346996115536494,0.008365644200874902,12,7
DDoS,tot_sum,0.0239087603708306,0.026612788245184,0.0027040278743534,13,11
DDoS,fin_cnt,0.0228866476806433,0.0331614432239074,0.010274795543264097,14,10
DDoS,fin,0.0218777655393938,0.0383562318937922,0.016478466354398397,15,6
DDoS,https,0.0214764468160309,0.0174139820288935,-0.004062464787137399,16,26
DDoS,dns,0.0212558287587081,0.0083460721381397,-0.0129097566205684,17,37
DDoS,var,0.0197896263560287,0.014366621569689,-0.0054230047863397,18,33
DDoS,syn,0.0173802040740601,0.0198938380174994,0.0025136339434393,19,20
DDoS,ece,0.0155818745405326,0.0187144507284777,0.0031325761879450985,20,23
DDoS,rst,0.0152329695120416,0.016630628928384,0.0013976594163423988,21,27
DDoS,rst_cnt,0.0144131188570596,0.0388879517221991,0.024474832865139504,22,5
DDoS,ttl,0.0143467590197778,0.0114139986996282,-0.002932760320149599,23,34
DDoS,std,0.0140290431438685,0.0197287989012077,0.005699755757339201,24,21
DDoS,cwr,0.0124669642890731,0.0225901160174693,0.010123151728396201,25,14
DDoS,header_len,0.0117359954089337,0.0185128416096669,0.006776846200733199,26,24
DDoS,telnet,0.0115564422780578,0.0145557530677647,0.0029993107897068987,27,32
DDoS,tcp,0.0106901926780843,0.0203004751667702,0.0096102824886859,28,19
DDoS,ssh,0.0101139564513362,0.0113882941464219,0.0012743376950857012,29,35
DDoS,irc,0.008711658384467,0.0182376219378157,0.009525963553348699,30,25
DDoS,udp,0.0082771926523177,0.0212787189206756,0.0130015262683579,31,16
DDoS,smtp,0.0078019663129597,0.0090859765802159,0.0012840102672562002,32,36
